latravel,motorway,rural_other,rural_primary,urban_other,urban_primary
E06000019,0,0.0436013247868444,0.7618396741394468,0.022072386582964242,0.17248661449074457
E06000022,0,0.19481170976571235,0.5445170201505176,0.08915350653539415,0.17151776354837592
E06000023,0.6807944408933361,0.0045816032407424104,0.019868971540847463,0.11807354196316606,0.17668144236190791
E06000024,0.8845860135336545,0.03479620262452305,0.01709658347694075,0.03338492680806592,0.030136273556815828
E06000025,0.9040455316784848,0.041253400579368125,0.02597136812707627,0.01732900755601816,0.011400692059052676
E06000030,0.367652506898222,0.07937775912044821,0.25194311795595453,0.1486692634984812,0.15235735252689403
E06000037,0.45827709505496655,0.4933580883494916,0.048364816595541926,0,0
E06000054,0.5676937585774706,0.08173818873311313,0.27527195143079286,0.03189684110887287,0.043399260149750526
E07000050,0,0.7529905258066399,0.06978258658999437,0.05769643238638345,0.11953045521698229
E07000078,0,8.374550068966889e-4,0.09904699848324021,0.23679870233834152,0.6633168441715217
E07000079,0,0.03330387995106909,0.8111438801715979,0.019773286200547198,0.13577895367678594
E07000080,0.07110541730328766,0.45479949697604627,0.3080986205216931,0.09104350996485636,0.07495295523411662
E07000081,0.3524362280709048,0.007833893432135638,0.13066897917619968,0.15737279089852826,0.3516881084222317
E07000082,0.9327028516533254,0.006848434529995078,0.0297496459321682,0.0065671953949356,0.024131872489575764
E07000083,0.5770410703658048,0.05822069940842569,0.24279630080171716,0.09406582010646584,0.02787610931758648
E07000180,0,0.06513241814447467,0.8736937957771524,0.0480296057738955,0.013144180304477344
E07000187,0,0.3716487738188059,0.5439714839675198,0.028786766484325692,0.05559297572934862
E07000188,0.615994524219789,0.060723274903874094,0.21490206309971988,0.024825551284142433,0.08355458649247464
E07000189,0,0.14440806642875575,0.7845924976285337,0.03528467673502707,0.03571475920768349
E07000190,0.5343078507340541,0.024033345714259267,0.14174636609806326,0.06845978419689484,0.2314526532567285
E07000191,0,0.12487872889108206,0.6800295187586333,0.08164250057813949,0.11344925177214524
